,City,Country,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,APICall
161,pimenta bueno,BR,-11.68,80.93,77,44,2.59,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=pimenta%20bueno,BR"
163,atuona,PF,-9.8,78.86,100,76,10.98,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=atuona,PF"
164,sambava,MG,-14.27,79.85,100,36,28.21,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=sambava,MG"
165,huarmey,PE,-10.07,76.61,59,20,3.38,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=huarmey,PE"
166,chicama,PE,-7.84,73.4,78,75,10.29,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=chicama,PE"
167,kirakira,SB,-10.46,81.02,100,76,9.19,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kirakira,SB"
169,victoria,SC,-4.62,80.6,83,40,4.7,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=victoria,SC"
170,faanui,PF,-16.48,80.21,100,44,9.86,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=faanui,PF"
171,padang,ID,-0.92,83.63,100,48,5.73,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=padang,ID"
172,tamandare,BR,-8.28,86.06,74,24,3.6,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tamandare,BR"
174,merauke,ID,-8.49,73.46,100,80,6.06,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=merauke,ID"
175,ambilobe,MG,-13.19,73.37,99,92,10.76,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=ambilobe,MG"
177,jaru,BR,-10.43,80.75,84,48,2.59,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=jaru,BR"
178,porto walter,BR,-8.27,83.63,80,24,1.48,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=porto%20walter,BR"
181,lupiro,TZ,-8.39,72.92,91,24,1.81,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=lupiro,TZ"
182,luanda,AO,-8.83,82.4,74,40,4.7,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=luanda,AO"
183,finschhafen,PG,-6.6,71.66,96,92,3.71,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=finschhafen,PG"
184,mitsamiouli,KM,-11.38,83.18,96,24,10.98,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=mitsamiouli,KM"
187,pitimbu,BR,-7.47,82.4,65,75,10.29,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=pitimbu,BR"
188,tual,ID,-5.67,82.73,100,24,7.74,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tual,ID"
191,manicore,BR,-5.81,77.96,90,68,2.93,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=manicore,BR"
193,chake chake,TZ,-5.25,82.1,99,36,10.09,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=chake%20chake,TZ"
194,chanika,TZ,-5.42,68.69,95,32,1.92,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=chanika,TZ"
195,buala,SB,-8.15,80.03,100,20,3.15,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=buala,SB"
196,rabaul,PG,-4.2,77.78,100,92,4.16,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=rabaul,PG"
198,coari,BR,-4.09,79.76,86,92,6.17,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=coari,BR"
199,rosario,BR,-2.71,82.91,78,56,2.37,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=rosario,BR"
200,sibolga,ID,1.74,68.6,100,24,2.26,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=sibolga,ID"
201,cibitoke,BI,-2.89,57.26,92,32,2.59,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=cibitoke,BI"
202,axim,GH,4.87,81.29,100,92,13.0,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=axim,GH"
203,omboue,GA,-1.57,81.2,100,88,12.21,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=omboue,GA"
205,manggar,ID,-2.88,74.63,100,32,0.13,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=manggar,ID"
206,curup,ID,-3.47,68.87,95,48,2.04,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=curup,ID"
207,hambantota,LK,6.12,79.4,100,48,11.21,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=hambantota,LK"
208,lodja,CD,-3.52,75.53,90,44,1.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=lodja,CD"
209,manokwari,ID,-0.87,80.66,100,56,3.15,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=manokwari,ID"
210,sorong,ID,-0.86,76.25,100,92,3.71,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=sorong,ID"
211,mogadishu,SO,2.04,81.47,99,8,18.03,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=mogadishu,SO"
212,lorengau,PG,-2.02,81.56,100,20,8.97,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=lorengau,PG"
213,natal,BR,-5.81,84.2,66,20,13.87,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=natal,BR"
214,harper,LR,4.38,81.02,100,76,12.21,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=harper,LR"
216,thinadhoo,MV,0.53,83.99,100,88,11.21,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=thinadhoo,MV"
217,touros,BR,-5.2,82.28,77,56,10.65,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=touros,BR"
219,prainha,BR,-1.8,81.29,86,24,2.26,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=prainha,BR"
221,pedernales,EC,0.07,77.96,93,48,6.73,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=pedernales,EC"
222,manado,ID,1.49,75.2,94,20,2.24,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=manado,ID"
223,bunia,CD,1.56,68.24,90,48,2.37,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bunia,CD"
224,santa isabel do rio negro,BR,-0.41,89.03,63,12,6.51,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=santa%20isabel%20do%20rio%20negro,BR"
225,namatanai,PG,-3.66,78.95,100,88,15.46,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=namatanai,PG"
226,oriximina,BR,-1.77,83.72,78,48,2.15,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=oriximina,BR"
227,miraflores,CO,5.2,69.41,45,48,2.59,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=miraflores,CO"
228,salinopolis,BR,-0.61,81.92,95,80,12.44,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=salinopolis,BR"
229,tarakan,ID,3.3,76.7,100,20,5.61,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tarakan,ID"
230,buta,CD,2.79,74.81,80,56,2.48,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=buta,CD"
231,bonthe,SL,7.53,79.76,84,24,5.73,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bonthe,SL"
232,limbang,MY,4.75,78.8,94,75,3.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=limbang,MY"
233,kloulklubed,PW,7.04,80.6,83,90,6.93,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kloulklubed,PW"
234,cururupu,BR,-1.82,82.1,75,24,7.18,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=cururupu,BR"
235,ternate,ID,0.8,81.74,100,44,6.85,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=ternate,ID"
236,latung,PH,5.5,83.09,100,36,1.92,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=latung,PH"
237,acapulco,MX,16.86,80.6,74,5,12.75,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=acapulco,MX"
238,bubaque,GW,11.28,82.4,61,8,8.05,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bubaque,GW"
239,carutapera,BR,-1.2,81.83,81,68,8.52,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=carutapera,BR"
240,vanimo,PG,-2.67,75.53,100,92,10.2,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=vanimo,PG"
241,hilo,US,19.71,78.8,69,90,8.05,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=hilo,US"
243,amapa,BR,-1.83,85.25,74,76,0.92,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=amapa,BR"
244,ugoofaaru,MV,5.67,83.54,100,0,6.85,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=ugoofaaru,MV"
245,aneho,TG,6.23,82.4,78,20,13.87,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=aneho,TG"
246,la palma,PA,8.4,83.9,74,92,7.4,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=la%20palma,PA"
247,bandarbeyla,SO,9.49,78.05,100,0,5.95,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bandarbeyla,SO"
248,eyl,SO,7.98,74.63,100,20,8.63,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=eyl,SO"
249,kapaa,US,22.08,78.8,83,75,12.75,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kapaa,US"
250,bria,CF,6.54,77.15,57,8,6.29,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bria,CF"
251,njinikom,CM,6.23,61.4,96,36,1.7,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=njinikom,CM"
252,banyo,CM,6.75,83.0,24,92,7.96,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=banyo,CM"
253,itarema,BR,-2.92,81.38,73,12,8.63,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=itarema,BR"
254,kavieng,PG,-2.57,76.88,100,88,13.22,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kavieng,PG"
255,san patricio,MX,19.22,77.0,83,20,13.87,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=san%20patricio,MX"
256,puerto carreno,CO,6.19,100.4,33,20,3.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=puerto%20carreno,CO"
257,arboletes,CO,8.85,95.0,53,40,11.21,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=arboletes,CO"
259,phangnga,TH,8.45,77.0,88,20,2.24,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=phangnga,TH"
260,sao filipe,CV,14.9,70.4,96,0,17.25,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=sao%20filipe,CV"
262,santa cruz,CR,10.26,95.0,36,0,23.04,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=santa%20cruz,CR"
263,villa bruzual,VE,9.33,96.8,53,40,6.4,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=villa%20bruzual,VE"
264,balabac,PH,7.99,82.1,98,92,12.88,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=balabac,PH"
265,oussouye,SN,12.49,73.4,78,0,6.93,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=oussouye,SN"
266,kilinochchi,LK,9.4,80.3,100,12,9.86,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kilinochchi,LK"
271,birao,CF,10.3,73.19,16,0,9.42,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=birao,CF"
272,cayenne,GF,4.94,82.4,69,40,10.29,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=cayenne,GF"
273,butaritari,KI,3.07,81.2,100,64,4.94,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=butaritari,KI"
274,sirumugai,IN,11.32,77.0,78,20,3.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=sirumugai,IN"
275,kolondieba,ML,11.09,84.53,49,76,5.61,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kolondieba,ML"
277,manjeshwar,IN,12.72,78.32,100,80,4.61,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=manjeshwar,IN"
278,oistins,BB,13.07,84.2,66,40,16.11,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=oistins,BB"
279,umm kaddadah,SD,13.6,63.02,15,0,4.94,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=umm%20kaddadah,SD"
280,port blair,IN,11.67,82.1,100,0,8.52,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=port%20blair,IN"
281,bama,NG,11.52,76.16,19,0,8.19,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bama,NG"
282,zabid,YE,14.2,51.14,62,32,1.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=zabid,YE"
283,kavaratti,IN,10.57,81.92,100,0,4.38,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kavaratti,IN"
284,ewa beach,US,21.32,82.4,58,40,6.93,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=ewa%20beach,US"
285,djenne,ML,13.91,86.6,25,68,9.08,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=djenne,ML"
286,cabadiangan,PH,10.45,78.8,83,20,9.17,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=cabadiangan,PH"
287,karwar,IN,14.8,70.85,95,44,1.59,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=karwar,IN"
288,guerrero negro,MX,27.97,63.65,61,0,12.88,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=guerrero%20negro,MX"
289,champasak,LA,14.89,72.92,93,12,3.6,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=champasak,LA"
290,salalah,OM,17.01,77.0,69,20,3.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=salalah,OM"
291,puerto colombia,CO,10.99,87.8,62,0,16.11,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=puerto%20colombia,CO"
292,sayyan,YE,15.17,56.18,49,76,1.59,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=sayyan,YE"
293,san andres,CO,8.22,89.6,62,40,16.11,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=san%20andres,CO"
294,pedernales,DO,18.04,84.2,70,40,16.11,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=pedernales,DO"
295,kayes,ML,14.44,83.45,27,0,8.41,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kayes,ML"
296,tahoua,NE,14.89,74.99,33,12,5.84,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tahoua,NE"
298,anito,PH,12.45,81.2,100,80,18.25,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=anito,PH"
299,pathein,MM,16.78,74.45,83,20,6.4,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=pathein,MM"
300,yarada,IN,17.65,81.02,100,0,2.82,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=yarada,IN"
301,constitucion,MX,23.99,77.0,12,20,12.75,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=constitucion,MX"
304,ponta do sol,CV,17.2,69.68,100,0,20.04,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=ponta%20do%20sol,CV"
305,mae hong son,TH,19.3,64.64,92,12,1.92,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=mae%20hong%20son,TH"
306,tomatlan,MX,19.93,88.13,42,0,4.83,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tomatlan,MX"
307,bathsheba,BB,13.22,84.2,66,40,16.11,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bathsheba,BB"
308,nouakchott,MR,18.08,67.79,88,56,20.49,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=nouakchott,MR"
309,araouane,ML,18.9,75.17,16,24,8.97,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=araouane,ML"
310,zhuhai,CN,40.71,26.6,92,20,2.24,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=zhuhai,CN"
311,cabo san lucas,MX,22.89,86.0,30,20,11.41,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=cabo%20san%20lucas,MX"
312,sur,OM,22.57,74.09,96,0,4.05,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=sur,OM"
313,nouadhibou,MR,20.93,66.2,63,0,17.22,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=nouadhibou,MR"
314,gopalpur,IN,25.6,67.88,37,0,8.52,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=gopalpur,IN"
315,katsuura,JP,33.93,39.2,80,75,5.82,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=katsuura,JP"
316,mecca,SA,21.43,82.4,48,0,2.71,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=mecca,SA"
317,paraiso,MX,24.01,77.0,12,20,12.75,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=paraiso,MX"
318,loikaw,MM,19.67,58.16,93,0,2.15,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=loikaw,MM"
319,hirara,JP,24.8,70.94,100,48,11.77,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=hirara,JP"
320,taitung,TW,22.76,67.16,100,48,6.73,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=taitung,TW"
322,lompoc,US,34.64,57.2,58,75,12.75,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=lompoc,US"
323,kailua,US,21.39,82.4,83,1,3.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=kailua,US"
324,baragua,CU,21.7,83.09,67,88,7.18,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=baragua,CU"
325,simdega,IN,22.61,60.86,86,0,2.71,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=simdega,IN"
326,atar,MR,20.52,71.48,19,0,9.42,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=atar,MR"
327,bolondron,CU,22.76,82.4,61,75,10.29,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bolondron,CU"
328,cuauhtemoc,MX,28.72,75.2,29,75,9.17,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=cuauhtemoc,MX"
331,nishihara,JP,35.74,46.4,69,1,3.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=nishihara,JP"
332,sultanpur,IN,26.26,66.35,43,0,4.38,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=sultanpur,IN"
333,jalu,LY,29.03,72.11,23,20,9.98,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=jalu,LY"
334,tessalit,ML,20.2,69.5,18,0,8.86,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tessalit,ML"
335,jamtara,IN,23.95,66.8,64,0,3.71,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=jamtara,IN"
336,doha,QA,25.29,73.4,64,0,16.11,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=doha,QA"
338,cockburn town,TC,21.46,75.62,100,20,13.56,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=cockburn%20town,TC"
339,cockburn town,BS,24.03,73.64,100,0,9.64,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=cockburn%20town,BS"
340,diphu,IN,25.84,57.53,88,0,0.58,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=diphu,IN"
341,naze,JP,28.37,65.63,100,76,10.42,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=naze,JP"
342,bandar-e lengeh,IR,26.56,72.38,100,0,16.58,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=bandar-e%20lengeh,IR"
343,buraydah,SA,26.33,69.8,35,0,17.22,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=buraydah,SA"
345,panzhihua,CN,26.59,54.92,51,12,3.94,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=panzhihua,CN"
346,chabahar,IR,25.29,73.28,99,0,4.5,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=chabahar,IR"
